----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	548.03	417	667
1  	57    	499.94	417	606
2  	75    	474.84	384	592
3  	78    	459.25	355	622
4  	72    	434.53	343	603
5  	71    	413.23	343	520
6  	72    	398.68	332	638
7  	69    	377.93	332	525
8  	74    	368.06	332	536
9  	76    	366.81	323	620
10 	58    	361.05	323	572
11 	68    	349.07	312	571
12 	76    	352.17	312	533
13 	64    	346.24	312	506
14 	71    	343.73	312	568
15 	67    	330.5 	312	534
16 	82    	327.45	312	503
17 	77    	330.08	312	510
18 	72    	326.14	312	556
19 	64    	325.11	312	535
20 	79    	331.45	312	510
21 	72    	331.58	312	517
22 	65    	332.68	312	548
23 	58    	326.74	312	502
24 	71    	330.6 	312	570
25 	69    	321.6 	312	451
26 	61    	323.07	312	560
27 	66    	328.8 	312	510
28 	70    	337.98	312	575
29 	70    	332.11	312	573
30 	60    	326.38	312	472
31 	66    	330.53	312	510
32 	71    	333.11	312	585
33 	71    	336.18	312	544
34 	63    	321.97	312	458
35 	76    	330.68	312	546
36 	64    	321.66	312	481
37 	68    	324.02	312	451
38 	57    	326.17	312	606
39 	60    	325.05	312	535
40 	77    	333.69	312	561
41 	72    	331.07	312	496
42 	61    	330.07	312	503
43 	69    	318.42	312	438
44 	76    	335.11	312	570
45 	71    	332.7 	312	525
46 	55    	326.13	312	591
47 	77    	322.29	312	516
48 	79    	332.3 	312	510
49 	74    	328.33	312	490
50 	66    	330.69	312	496
51 	59    	334.52	312	512
52 	77    	322.91	312	481
53 	64    	326.43	312	552
54 	70    	331.24	312	554
55 	67    	320.81	312	598
56 	74    	326.72	312	510
57 	63    	328.42	312	532
58 	71    	333.46	312	634
59 	68    	330.7 	312	583
60 	74    	330.7 	312	562
61 	72    	327.52	312	568
62 	66    	325.85	312	513
63 	70    	327.78	312	510
64 	84    	338.21	312	660
65 	77    	333.81	312	525
66 	64    	333.27	312	510
67 	63    	325.37	312	481
68 	69    	330.15	312	620
69 	76    	328.84	312	547
70 	55    	326.98	312	525
71 	65    	328.85	312	626
72 	70    	333.32	312	519
73 	68    	331.48	312	573
74 	72    	328.52	312	562
75 	71    	330.39	312	503
76 	75    	339.44	312	520
77 	75    	336.58	312	510
78 	74    	329.17	312	510
79 	62    	321.97	312	436
80 	67    	329.06	312	614
81 	76    	328.19	312	548
82 	73    	331.34	312	490
83 	68    	325.12	312	608
84 	75    	334.16	312	575
85 	70    	325.22	312	510
86 	67    	321.03	312	490
87 	74    	327.22	312	503
88 	82    	338.06	312	541
89 	75    	328.8 	312	503
90 	55    	324   	312	571
91 	70    	326.2 	312	526
92 	76    	327.94	312	520
93 	71    	327.34	312	510
94 	67    	327.28	312	538
95 	64    	326.59	312	481
96 	82    	328.93	312	503
97 	61    	330.49	312	557
98 	68    	325.9 	312	525
99 	72    	331.03	312	584
100	69    	336.37	312	621
-------------------- 2 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	547.38	448	661
1  	76    	514.75	417	633
2  	72    	486.81	395	591
3  	76    	464.96	382	619
4  	73    	456.53	351	585
5  	71    	428.76	332	625
6  	69    	412.16	332	551
7  	66    	395.38	332	555
8  	77    	397.27	332	550
9  	71    	369.94	332	535
10 	81    	354.75	332	496
11 	63    	347.62	332	564
12 	77    	347.57	312	587
13 	73    	354.82	332	574
14 	73    	345.74	312	528
15 	61    	342.73	312	522
16 	69    	351.48	312	542
17 	66    	345.09	312	618
18 	68    	335.57	312	516
19 	68    	332.57	312	632
20 	76    	321.85	312	585
21 	79    	338.18	312	546
22 	74    	329.38	312	560
23 	68    	326.84	312	503
24 	63    	326.7 	312	522
25 	66    	333.91	312	626
26 	67    	326.89	312	481
27 	67    	330.22	312	510
28 	82    	333.43	312	507
29 	72    	327.34	312	498
30 	66    	338.4 	312	518
31 	74    	322.79	312	496
32 	64    	327.35	312	529
33 	57    	326.52	312	510
34 	66    	324.27	312	611
35 	67    	326.5 	312	604
36 	74    	327.56	312	591
37 	69    	330.68	312	538
38 	71    	337.45	312	550
39 	64    	324.76	312	519
40 	74    	324.8 	312	496
41 	61    	322.39	312	527
42 	68    	328.58	312	510
43 	70    	325.88	312	510
44 	68    	337.05	312	568
45 	68    	322.61	312	499
46 	72    	333.75	312	510
47 	79    	329.79	312	513
48 	73    	331.4 	312	572
49 	73    	328.74	312	557
50 	69    	326.18	312	540
51 	74    	325.87	312	550
52 	72    	333.99	312	503
53 	68    	327.31	312	509
54 	65    	323.48	312	510
55 	68    	323.76	312	468
56 	75    	325.71	312	503
57 	78    	331.84	312	576
58 	70    	326.91	312	500
59 	69    	334.53	312	547
60 	62    	324.7 	312	503
61 	82    	339.19	312	548
62 	66    	327.9 	312	570
63 	68    	323.69	312	496
64 	67    	330.44	312	510
65 	62    	329.55	312	510
66 	63    	325.81	312	593
67 	71    	328.05	312	570
68 	73    	325.78	312	510
69 	73    	335.2 	312	510
70 	75    	321.38	312	484
71 	71    	332.97	312	550
72 	58    	324.02	312	478
73 	72    	324.71	312	510
74 	63    	329.83	312	527
75 	64    	331.73	312	593
76 	70    	329.29	312	490
77 	73    	330.15	312	545
78 	72    	332.05	312	496
79 	61    	326.55	312	513
80 	68    	331.63	312	584
81 	71    	327.27	312	583
82 	67    	329.21	312	543
83 	70    	332.7 	312	565
84 	68    	326.18	312	560
85 	67    	326.05	312	500
86 	69    	327.77	312	538
87 	73    	320.36	312	437
88 	76    	326.49	312	544
89 	73    	320.99	312	490
90 	63    	324.82	312	480
91 	67    	325.99	312	496
92 	79    	324.52	312	472
93 	69    	328.37	312	515
94 	79    	324.35	312	490
95 	63    	324.33	312	585
96 	70    	329.16	312	510
97 	59    	327.56	312	539
98 	69    	329.11	312	506
99 	65    	332.48	312	585
100	74    	331.36	312	564
-------------------- 3 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	547.69	432	641
1  	71    	510.47	411	655
2  	72    	491.07	411	617
3  	63    	470.09	390	605
4  	79    	461.29	390	584
5  	72    	450.53	390	614
6  	71    	440.52	383	580
7  	69    	435.34	383	556
8  	79    	427.97	333	555
9  	74    	410.47	333	521
10 	78    	402.86	331	522
11 	70    	395.06	331	540
12 	70    	374.5 	331	581
13 	76    	355.58	323	625
14 	75    	348.33	323	575
15 	70    	353.67	323	549
16 	76    	358.65	317	596
17 	64    	339.96	317	579
18 	69    	350.62	317	611
19 	62    	335.99	317	494
20 	75    	334.37	317	545
21 	68    	338.96	317	569
22 	80    	338.01	317	525
