----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	546.01	450	671
1  	93    	523.71	401	631
2  	90    	501.89	362	640
3  	93    	484.53	362	633
4  	97    	460.86	345	587
5  	88    	446.22	362	575
6  	80    	427.85	345	598
7  	91    	413.43	339	589
8  	89    	389.5 	311	581
9  	92    	390.25	311	619
10 	92    	370.23	311	525
11 	86    	356.03	311	548
12 	94    	356.35	311	551
13 	90    	345.52	311	489
14 	91    	344.08	311	641
15 	92    	345.91	311	513
16 	91    	340.87	311	556
17 	89    	338.38	311	618
18 	92    	334.03	311	535
19 	92    	335.75	311	570
20 	87    	334.43	311	612
21 	90    	336.71	311	526
22 	90    	341.5 	311	612
23 	92    	340.83	311	580
24 	89    	331.57	311	613
25 	91    	335.64	311	548
26 	93    	344.28	311	641
27 	90    	336.08	311	495
28 	80    	342.21	311	558
29 	82    	339.75	311	570
30 	81    	339.23	311	504
31 	91    	343.52	311	509
32 	84    	340.1 	311	600
33 	88    	339.56	311	614
34 	89    	334.12	311	509
35 	93    	343.66	311	512
36 	94    	344   	311	594
37 	87    	337.42	311	544
38 	92    	338.71	311	499
39 	89    	338.99	311	543
40 	92    	342.87	311	566
41 	97    	331.6 	311	495
42 	89    	344.38	311	578
43 	90    	332.92	311	477
44 	92    	338.98	311	558
45 	91    	342.21	311	534
46 	93    	345   	311	540
47 	95    	345.97	311	585
48 	87    	340.12	311	525
49 	89    	348.39	311	570
50 	97    	344.37	311	613
51 	94    	340.37	311	551
52 	89    	344.8 	311	623
53 	97    	340.8 	311	509
54 	91    	335.48	311	564
55 	87    	338.77	311	578
56 	94    	354.2 	311	583
57 	90    	346.19	311	509
58 	89    	338.04	311	617
59 	85    	343.19	311	520
60 	91    	345.14	311	558
61 	92    	342.21	311	585
62 	89    	330.33	311	542
63 	91    	340.35	311	537
64 	92    	350.79	311	529
65 	94    	346.66	311	587
66 	87    	330.74	311	509
67 	85    	331.6 	311	526
68 	91    	336.53	311	552
69 	92    	333.53	311	538
70 	90    	336.77	311	509
71 	92    	347.14	311	523
72 	94    	341.56	311	550
73 	91    	346.65	311	602
74 	96    	339.11	311	514
75 	92    	325.86	311	585
76 	95    	342.63	311	548
77 	87    	350.75	311	612
78 	95    	346.52	311	543
79 	94    	341.6 	311	585
80 	93    	338.23	311	560
81 	92    	332.77	311	488
82 	94    	336.08	311	520
83 	83    	336.79	311	489
84 	92    	335.72	311	535
85 	90    	349.65	311	550
86 	91    	345.04	311	570
87 	92    	345.1 	311	588
88 	90    	336.8 	311	498
89 	91    	330.66	311	496
90 	90    	338.71	311	535
91 	95    	341.14	311	590
92 	96    	345.99	311	527
93 	99    	343.83	311	545
94 	86    	343.88	311	512
95 	86    	342.52	311	565
96 	90    	342.74	311	585
97 	96    	345.8 	311	580
98 	89    	340.11	311	515
99 	92    	349.71	311	547
100	87    	335.02	311	545
-------------------- 2 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	552.08	422	653
1  	91    	506.42	356	664
2  	94    	477.25	356	668
3  	90    	471.82	356	624
4  	91    	454.83	356	580
5  	91    	442.48	356	587
6  	94    	451.01	356	631
7  	96    	439.98	332	629
8  	97    	438.21	354	604
9  	89    	429.82	352	571
10 	88    	418.38	352	606
11 	95    	410.79	350	536
12 	90    	410.53	340	596
13 	93    	402.85	340	618
14 	92    	404.68	340	595
15 	92    	391.57	340	536
16 	92    	388.6 	340	617
17 	93    	379.65	340	567
18 	92    	363.1 	327	520
19 	87    	370.01	327	536
20 	90    	365.34	327	527
21 	91    	366.06	327	502
22 	89    	355.8 	327	536
23 	91    	358.99	327	513
24 	86    	356.97	327	515
25 	89    	351.15	327	612
26 	90    	352.98	327	590
27 	92    	353.56	327	577
28 	90    	357.03	327	633
29 	91    	359.49	327	613
30 	87    	344.37	327	492
31 	92    	346.95	327	524
32 	90    	356.84	327	539
33 	95    	351.37	327	541
34 	84    	348.38	327	542
35 	93    	355.5 	327	540
36 	93    	360.56	327	526
37 	92    	350.85	327	499
38 	90    	357.58	327	567
39 	92    	347.26	327	510
40 	90    	346.9 	327	553
41 	91    	349.7 	327	505
42 	94    	359.44	327	567
43 	91    	357.37	327	550
44 	88    	364.35	327	531
45 	96    	358.74	327	507
46 	92    	347.64	327	517
47 	89    	348.77	327	554
48 	88    	352.85	327	560
49 	91    	348.35	327	521
50 	92    	351.77	327	508
51 	87    	350.51	327	496
52 	92    	359.71	327	569
53 	88    	349.78	327	560
54 	87    	355.04	327	546
55 	95    	363.75	327	580
56 	95    	358.17	327	555
57 	92    	361.39	327	573
58 	92    	354.89	327	612
59 	97    	356.01	327	525
60 	95    	363.62	327	496
61 	88    	351.26	327	533
62 	97    	352.13	324	496
63 	89    	346   	324	486
64 	94    	357.85	324	595
65 	96    	357.91	324	596
66 	91    	350.42	324	502
67 	95    	354.47	324	505
68 	94    	353.58	324	518
69 	96    	354.34	324	605
70 	90    	351.23	324	509
71 	83    	350.7 	324	489
72 	94    	348.78	324	520
73 	87    	359.47	324	613
74 	95    	353.12	324	565
75 	83    	354.27	324	658
76 	88    	353.57	324	633
77 	88    	349.97	324	519
78 	92    	364.42	324	632
79 	96    	343.73	324	493
80 	90    	348.21	324	565
81 	95    	350.31	324	552
82 	93    	352.94	324	561
83 	89    	363.17	324	534
84 	93    	353.23	324	583
85 	91    	350.27	324	499
86 	92    	365.55	324	544
87 	94    	354.88	324	560
88 	97    	355.44	324	560
89 	92    	349.52	324	499
90 	92    	357.48	324	545
91 	83    	352.6 	324	541
92 	88    	356.35	324	569
93 	88    	356.96	324	537
94 	86    	356.32	324	571
95 	83    	345.1 	324	486
96 	90    	352.51	324	559
97 	91    	343.94	324	508
98 	87    	362.62	324	633
99 	87    	350.12	324	596
100	88    	348.84	324	500
-------------------- 3 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	546.8 	380	654
1  	88    	506.05	380	628
2  	94    	482.11	380	619
3  	93    	476.99	380	653
4  	93    	453.02	375	568
5  	94    	450.94	356	591
6  	97    	446.65	350	646
7  	83    	434   	361	619
8  	91    	429.75	345	578
9  	93    	428.45	345	583
10 	95    	425.08	317	624
11 	83    	418.01	317	600
12 	96    	422.61	332	619
13 	86    	408.78	332	555
14 	88    	398.8 	311	574
15 	87    	398.83	311	573
16 	92    	393.14	311	536
17 	91    	383.84	311	562
18 	91    	377.93	311	554
19 	93    	359.5 	311	539
20 	88    	359   	311	560
21 	95    	336.25	311	489
22 	91    	341.65	311	528
23 	86    	341.49	311	600
24 	88    	343.51	311	509
25 	91    	343.58	311	590
26 	91    	338.59	311	508
27 	93    	333.83	311	548
28 	93    	346.91	311	509
29 	89    	338.4 	311	594
30 	94    	337.23	311	512
31 	88    	332.6 	311	561
32 	94    	349.24	311	509
33 	95    	330.68	311	509
34 	86    	339.75	311	556
35 	88    	340.63	311	585
36 	92    	344.13	311	618
37 	93    	332.21	311	531
38 	91    	339.29	311	571
39 	91    	342.82	311	567
40 	86    	343.75	311	584
41 	90    	344.18	311	549
42 	91    	342.27	311	607
43 	86    	340.69	311	522
44 	93    	342.65	311	587
45 	88    	338.98	311	509
46 	85    	341.7 	311	509
47 	91    	340.36	311	583
48 	90    	339.67	311	607
49 	86    	336.65	311	525
50 	87    	339.22	311	573
51 	92    	337.07	311	502
52 	94    	353.52	311	572
53 	93    	352.73	311	564
54 	88    	339.01	311	535
55 	90    	352.63	311	566
56 	86    	338.48	311	485
57 	90    	342.93	311	581
58 	95    	340.84	311	502
59 	92    	340.09	311	547
60 	93    	342.69	311	568
61 	95    	345.59	311	597
62 	94    	338.62	311	585
63 	97    	341.74	311	509
64 	89    	332.7 	311	509
65 	87    	349.42	311	566
66 	95    	335.8 	311	502
67 	90    	342.49	311	553
68 	90    	343.19	311	556
69 	90    	344.75	311	645
70 	92    	339.32	311	609
71 	91    	355.69	311	573
72 	93    	335.85	311	509
73 	92    	343.36	311	556
74 	96    	346.41	311	600
75 	92    	336.61	311	534
76 	88    	336.6 	311	525
77 	88    	338.91	311	558
78 	91    	350.9 	311	608
79 	88    	339.14	311	509
80 	94    	347.64	311	505
81 	90    	335.54	311	502
82 	87    	337.79	311	560
83 	94    	341.16	311	546
84 	92    	343.11	311	571
85 	94    	338.85	311	509
86 	95    	344.04	311	546
87 	92    	348.05	311	630
88 	89    	344.97	311	545
89 	91    	345.5 	311	645
90 	95    	339.61	311	583
91 	97    	343.87	311	503
92 	94    	346.37	311	630
93 	97    	342.71	311	505
94 	87    	352.57	311	659
95 	93    	340.36	311	571
96 	89    	338   	311	509
97 	92    	349.3 	311	537
98 	93    	336.99	311	525
99 	89    	342.8 	311	509
100	88    	351.88	311	517
-------------------- 4 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	547.69	415	652
1  	97    	509.63	415	617
2  	87    	491.61	400	647
3  	93    	470.57	384	664
4  	95    	457.86	360	591
5  	93    	429.99	340	626
6  	97    	422.19	327	640
7  	92    	413.11	327	551
8  	96    	396.85	325	534
9  	90    	366   	325	522
10 	94    	361.56	306	582
11 	93    	349.49	306	511
12 	87    	361.18	306	617
13 	93    	354.99	306	495
14 	89    	344.02	306	543
15 	94    	336.24	306	508
16 	88    	330.72	306	573
17 	93    	339.17	306	550
18 	92    	333.64	306	490
19 	86    	342.55	306	604
20 	90    	345.75	306	525
21 	91    	339.23	306	580
22 	87    	333.41	306	630
23 	85    	349.89	306	615
24 	87    	328.18	306	497
25 	94    	338.49	306	570
26 	91    	342.47	306	593
27 	88    	326.54	306	492
28 	98    	335.49	306	545
29 	88    	331.24	306	502
30 	89    	337.02	306	535
31 	93    	333.38	306	507
32 	87    	335.14	306	500
33 	91    	331.6 	306	532
34 	92    	338.6 	306	581
35 	90    	344.31	306	652
36 	91    	344.16	306	540
37 	88    	336.68	306	501
38 	89    	339.22	306	574
39 	92    	332.51	306	563
40 	91    	333.41	306	519
41 	89    	340.16	306	559
42 	93    	340.86	306	555
43 	92    	337.26	306	577
44 	91    	332.96	306	605
45 	95    	337.1 	306	574
46 	96    	339.86	306	574
47 	95    	340.25	306	525
48 	90    	327.86	306	490
49 	89    	337.2 	306	575
50 	91    	340.51	306	565
51 	94    	336.42	306	527
52 	83    	330.59	306	585
53 	91    	327.84	306	512
54 	96    	332   	306	632
55 	92    	331.76	306	475
56 	84    	332.68	306	529
57 	94    	335.39	306	497
58 	89    	338.71	306	490
59 	90    	345.82	306	529
60 	92    	332.11	306	508
61 	90    	349.72	306	545
62 	97    	342.89	306	562
63 	87    	340.84	306	600
64 	96    	340.61	306	518
65 	89    	332.16	306	533
66 	89    	344.33	306	591
67 	87    	338.9 	306	572
68 	92    	344.03	306	504
69 	90    	337.53	306	529
70 	92    	341.68	306	620
71 	92    	333.89	306	595
72 	90    	331.22	306	504
73 	91    	340.67	306	532
74 	88    	342.91	306	620
75 	90    	333.25	306	558
76 	91    	349.3 	306	612
77 	89    	336.66	306	577
78 	98    	335   	306	530
79 	87    	340.22	306	612
80 	94    	336.9 	306	547
81 	89    	331.41	306	512
82 	92    	338.21	306	574
83 	88    	331.07	306	504
84 	93    	335.01	306	514
85 	95    	334.53	306	497
86 	97    	340.83	306	555
87 	95    	341.61	306	537
88 	92    	331.83	306	504
89 	86    	332.97	306	504
90 	86    	349.78	306	572
91 	95    	338.04	306	570
92 	84    	334.71	306	490
93 	90    	336.89	306	522
94 	87    	335.12	306	529
95 	89    	334.13	306	537
96 	92    	331.41	306	504
97 	92    	334.52	306	505
98 	92    	327.63	306	497
99 	91    	333.48	306	490
100	90    	337.17	306	519
-------------------- 5 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	557.82	402	684
1  	84    	520.16	402	658
2  	92    	494.13	416	578
3  	92    	481.86	410	585
4  	93    	462.92	367	607
5  	93    	461.04	365	620
6  	94    	447.35	306	594
7  	93    	442.61	306	597
8  	91    	427.51	306	661
9  	88    	415.67	306	637
10 	93    	392.23	306	600
11 	95    	389.83	306	598
12 	94    	377.99	306	523
13 	90    	356.23	306	497
14 	92    	352.83	306	559
15 	90    	334.11	306	570
16 	89    	340.48	306	501
17 	88    	338.06	306	595
18 	88    	339.2 	306	521
19 	96    	347.26	306	532
20 	97    	336.53	306	496
21 	88    	347.71	306	619
22 	93    	329.05	306	493
23 	98    	340.93	306	525
24 	82    	333.26	306	497
25 	89    	339.67	306	578
26 	90    	332.98	306	544
27 	96    	335.28	306	579
28 	93    	331.15	306	495
29 	94    	337.75	306	639
30 	93    	324.91	306	559
31 	94    	339.34	306	581
32 	98    	333.8 	306	562
33 	92    	331.85	306	497
34 	88    	333.4 	306	493
35 	96    	340.64	306	580
36 	94    	339.32	306	497
37 	98    	334.83	306	536
38 	95    	327.1 	306	504
39 	88    	328.68	306	504
40 	92    	333.18	306	535
41 	93    	341.29	306	543
42 	92    	329.89	306	589
43 	86    	342.9 	306	637
44 	87    	332.69	306	543
45 	91    	341.61	306	580
46 	95    	339.1 	306	536
47 	90    	344.14	306	503
48 	92    	344.46	306	603
49 	88    	332.06	306	554
50 	91    	335.5 	306	544
51 	93    	337.28	306	580
52 	91    	337.7 	306	504
53 	91    	337.85	306	512
54 	91    	350.66	306	612
55 	94    	341.98	306	567
56 	94    	338.28	306	607
57 	84    	337.52	306	568
58 	96    	334.44	306	521
59 	92    	336.82	306	577
60 	89    	328.06	306	584
61 	88    	334.19	306	637
62 	89    	333.28	306	498
63 	93    	335.11	306	565
64 	94    	343.86	306	508
65 	91    	327.95	306	535
66 	89    	340.99	306	589
67 	89    	334.3 	306	522
68 	88    	329.47	306	504
69 	92    	344.39	306	513
70 	90    	320.31	306	510
71 	90    	335.88	306	607
72 	93    	332.8 	306	552
73 	89    	334.85	306	534
74 	94    	330.54	306	504
75 	92    	335.81	306	504
76 	89    	348.41	306	633
77 	100   	342.06	306	541
78 	90    	347.68	306	630
79 	86    	331.39	306	615
80 	91    	337.97	306	597
81 	90    	332.57	306	499
82 	96    	344.5 	306	574
83 	93    	344.79	306	490
84 	91    	355.02	306	580
85 	92    	333.92	306	540
86 	92    	335.37	306	604
87 	91    	340.69	306	590
88 	88    	336.31	306	527
89 	89    	332.17	306	522
90 	92    	329.89	306	504
91 	89    	323.84	306	497
92 	83    	338.23	306	570
93 	92    	344.56	306	553
94 	93    	341.3 	306	603
95 	88    	335.65	306	534
96 	95    	343.82	306	527
97 	90    	336.88	306	531
98 	93    	342.85	306	512
99 	95    	329.18	306	550
100	95    	342.09	306	535
-------------------- 6 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	547.85	389	635
1  	86    	511.49	389	597
2  	94    	487.84	366	649
3  	94    	462.86	366	586
4  	96    	447.89	339	595
5  	90    	442.53	339	631
6  	96    	419.07	334	553
7  	84    	412.72	319	582
8  	91    	394.26	306	627
9  	87    	370.54	306	548
10 	89    	364.45	306	632
11 	97    	357.19	306	573
12 	89    	336.96	306	493
13 	88    	331.87	306	522
14 	94    	326.5 	306	530
15 	98    	339.61	306	637
16 	93    	332.52	306	504
17 	88    	336.45	306	575
18 	95    	338.53	306	605
19 	92    	332.14	306	596
