----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	554.95	373	689
1  	57    	506.64	373	640
2  	75    	482.38	360	670
3  	78    	452.04	324	629
4  	72    	433.02	324	580
5  	71    	410.77	324	579
6  	72    	400.6 	324	637
7  	69    	395.8 	324	563
8  	74    	383.76	324	616
9  	76    	367.79	324	613
10 	58    	353.03	324	570
11 	68    	342.71	324	536
12 	76    	346.12	324	519
13 	64    	342.83	324	493
14 	71    	345   	324	494
15 	67    	342.69	324	520
16 	82    	339.54	324	536
17 	77    	339.43	324	493
18 	72    	337.92	324	565
19 	64    	335.06	324	514
20 	79    	343.94	324	518
21 	72    	340.83	324	486
22 	65    	342.67	324	540
23 	58    	336.78	324	467
24 	71    	341.71	324	545
25 	69    	332.56	324	516
26 	61    	332.59	324	501
27 	66    	339.18	324	496
28 	70    	348.88	324	625
29 	70    	341.48	324	590
30 	60    	340.16	324	539
31 	66    	341.43	324	500
32 	71    	343.5 	324	561
33 	71    	346.9 	324	552
34 	63    	333.98	324	456
35 	76    	340.09	324	487
36 	64    	332.82	324	483
37 	68    	336.45	324	483
38 	57    	337.52	324	551
39 	60    	336.35	324	514
40 	77    	344.02	324	596
41 	72    	340.86	324	502
42 	61    	341.5 	324	540
43 	69    	331.82	324	483
44 	76    	342.1 	324	494
45 	71    	343.64	324	541
46 	55    	338.03	324	614
47 	77    	333.87	324	511
48 	79    	341.03	324	516
49 	74    	339.21	324	507
50 	66    	340.82	324	493
51 	59    	344.89	324	486
52 	77    	336.54	324	518
53 	64    	337.56	324	539
54 	70    	341.64	324	517
55 	67    	332.51	324	588
56 	74    	337.11	324	493
57 	63    	341.35	324	543
58 	71    	341.69	324	633
59 	68    	340.39	324	558
60 	74    	342.96	324	508
61 	72    	336.24	324	517
62 	66    	337.16	324	507
63 	70    	339.28	324	505
64 	84    	347.09	324	626
65 	77    	343.2 	324	550
66 	64    	343.95	324	520
67 	63    	335.25	324	493
68 	69    	340.77	324	564
69 	76    	339.05	324	522
70 	55    	337.15	324	538
71 	65    	340.56	324	613
72 	70    	346.06	324	535
73 	68    	340.83	324	566
74 	72    	338.45	324	521
75 	71    	342.98	324	493
76 	75    	349.08	324	522
77 	75    	345.32	324	479
78 	74    	341.41	324	508
79 	62    	333.57	324	467
80 	67    	341.27	324	583
81 	76    	340   	324	540
82 	73    	340.91	324	496
83 	68    	337.34	324	593
84 	75    	347.38	324	573
85 	70    	337.73	324	512
86 	67    	331.99	324	469
87 	74    	339.22	324	496
88 	82    	345.29	324	497
89 	75    	339.75	324	504
90 	55    	334.38	324	551
91 	70    	336.42	324	500
92 	76    	336.25	324	522
93 	71    	337.43	324	466
94 	67    	337.61	324	518
95 	64    	337.09	324	488
96 	82    	340.35	324	496
97 	61    	341.6 	324	522
98 	68    	337.38	324	536
99 	72    	339.52	324	580
100	69    	345.69	324	609
-------------------- 2 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	540.71	417	683
1  	76    	494.35	417	599
2  	72    	479.27	414	652
3  	76    	472.53	357	606
4  	73    	460.51	357	582
5  	71    	430.33	357	559
6  	69    	412.9 	357	561
7  	66    	400.69	311	565
8  	77    	391.11	311	582
9  	71    	389.07	311	570
10 	81    	377.31	311	539
11 	63    	354.03	306	538
12 	77    	335.51	306	535
13 	73    	345.03	306	573
14 	73    	324.15	306	543
15 	61    	318.6 	306	555
16 	69    	328.62	306	497
17 	66    	325.9 	306	568
18 	68    	322.92	306	532
19 	68    	323.41	306	622
20 	76    	315.02	306	545
21 	79    	330.86	306	531
22 	74    	324.08	306	503
23 	68    	320.71	306	461
24 	63    	320.04	306	514
25 	66    	326.77	306	589
26 	67    	320.07	306	490
27 	67    	325.13	306	517
28 	82    	326.47	306	530
29 	72    	320.68	306	510
30 	66    	331.18	306	497
31 	74    	318.93	306	495
32 	64    	321.52	306	526
33 	57    	320.88	306	504
34 	66    	318.76	306	608
35 	67    	320.97	306	605
36 	74    	322.62	306	615
37 	69    	323.57	306	503
38 	71    	333.29	306	549
39 	64    	319.93	306	516
40 	74    	320.06	306	504
41 	61    	316.28	306	541
42 	68    	322.09	306	497
43 	70    	318.77	306	497
44 	68    	329.48	306	535
45 	68    	316.85	306	493
46 	72    	329.15	306	510
47 	79    	323.4 	306	495
48 	73    	326.08	306	580
49 	73    	324.19	306	525
50 	69    	320.31	306	528
51 	74    	321.27	306	523
